,user_id,condition,age,gender,edu_lvl,edu_lvl_desc,field,field_desc,exp1,exp2,exp3,exp4,exp5,exp6,train_success,avg_train_diff,flow_score,ncs_score,effort_score,difficulty_score,performance_score,flow1,flow2,flow3,flow4,flow5,flow6,flow7,flow8,flow9,flow10,ncs1,ncs2,ncs3,ncs4,ncs5,ncs6,comment
25,self-det:29,self-det,39,m,3,Bachelor's Degree,p6,Professions - Engineering and technology,5,5,6,5,5,5,9,47.050110217907424,6.0,3.2,11,12,15,6,6,6,6,6,6,6,6,6,6,4,4,2,2,4,4,"OK, OK"
76,dda:30,dda,20,f,2,High School,na,Not applicable,2,3,5,5,5,5,7,58.20561213520133,4.2,3.0,5,12,17,6,5,3,3,5,6,5,4,3,2,4,4,4,2,4,4,"I think if had more time I would be able to solve most of the ones that I didn't solve , I felt joy when I completed them successfully, but irritation when the time run out and I knew I failed   "
60,dda:9,dda,27,f,3,Bachelor's Degree,p3,Professions - Business,4,5,7,7,1,6,8,54.73433783436196,4.9,3.1,19,17,11,6,7,4,1,7,5,7,7,4,1,3,4,2,3,3,3,"The puzzled were difficult with very little time given to solve them, I felt anxious"
21,self-det:25,self-det,37,m,3,Bachelor's Degree,p6,Professions - Engineering and technology,1,6,7,7,5,7,6,80.40905131174378,6.2,3.4,16,18,9,7,5,7,6,5,7,6,6,6,7,4,5,1,1,5,5,"It was very difficult; I had to fully concentrate., I felt happy since I like puzzles."
41,static-inc:19,static-inc,21,m,2,High School,p8,Professions - Journalism and media,2,7,7,5,2,7,3,58.4972840560701,5.0,3.3,11,6,4,6,5,7,5,5,5,5,5,5,2,4,4,2,1,5,4,", "
1,self-det:2,self-det,25,f,4,Master's Degree,ns1,Natural Sciences - Biology,2,4,6,4,2,5,6,58.813135097523734,4.1,3.1,6,12,6,4,5,7,2,3,4,3,5,4,4,2,3,2,3,3,3,"the difficulty level was intermediate , somewhat rushed"
42,static-inc:20,static-inc,24,m,3,Bachelor's Degree,ns3,Natural Sciences - Computer science,4,6,7,4,6,7,2,58.47376032511904,5.6,3.2,6,16,14,7,4,6,7,7,5,4,4,6,6,5,5,2,2,5,5,"It needed someone who is fully focused., It was a good challenge for me, it needed some concentration. I was excited about being challenged."
19,self-det:23,self-det,33,m,2,High School,p3,Professions - Business,1,6,6,5,2,7,7,73.49509586057361,6.3,3.2,13,8,14,6,6,7,7,7,7,4,7,6,6,4,3,2,2,3,4,"Whenever I failed a puzzle I was always surprised. I would have liked to see what I did wrong., Very concentrated on the task/puzzle."
61,dda:11,dda,20,m,2,High School,ss7,Social Sciences - Organizational studies,2,1,6,6,1,7,7,65.79697849921602,5.7,3.3,14,13,17,7,3,7,7,6,7,6,7,5,2,4,3,2,1,4,2,"Training was pretty difficult but later it was easy for me to solve easier puzzles, i felt concentrated and motivated to provide best results"
11,self-det:12,self-det,25,f,3,Bachelor's Degree,p3,Professions - Business,6,7,4,6,4,2,3,66.06785326166,6.2,3.4,12,13,10,7,7,7,7,7,7,7,6,6,1,5,5,1,1,5,5,", "
77,dda:31,dda,47,m,4,Master's Degree,p6,Professions - Engineering and technology,3,5,6,6,5,6,8,56.228612321505096,6.1,3.1,17,13,5,7,6,6,6,6,6,6,7,6,5,3,4,2,3,4,3,"troch trudne zadania, cakiem dobrze i skupiony"
0,self-det:1,self-det,36,m,4,Master's Degree,ns3,Natural Sciences - Computer science,1,5,5,3,5,5,3,55.58445460929597,4.3,3.4,20,13,9,4,3,7,6,2,7,3,3,3,5,4,4,1,1,4,3,"training was fun, it helps to improve ability of solving puzzles, the lines and dots for over 7 selections confused my vision, i could hardly spot my choices were wrong (noticing 2 dots connected by a line), "
13,self-det:14,self-det,20,m,1,Below High School,ns3,Natural Sciences - Computer science,4,5,7,5,5,7,4,84.05453640718254,3.8,2.8,7,13,15,7,1,7,2,3,5,4,4,1,4,5,4,3,5,5,3,"i just can't do this, i don't even know why. It was a little too hard for me, maybe it is becouse i was sleeping badly last night, I mean, i was tired. I don't know why but i was very tired, on other hand the puzzles were really great."
35,static-inc:12,static-inc,30,m,3,Bachelor's Degree,p3,Professions - Business,1,1,7,4,1,7,2,58.35847281149378,3.8,3.1,16,20,13,2,4,7,4,5,3,3,2,4,4,1,3,2,3,1,2,"Some require a high level of concentration, Felt emerged in the game"
16,self-det:18,self-det,25,m,3,Bachelor's Degree,ns1,Natural Sciences - Biology,5,4,4,5,4,5,7,58.127408820697944,4.6,3.2,14,10,2,5,5,5,5,5,5,5,4,5,2,4,3,2,2,4,4,"IIt was a difficult but very interesting type of exercise, concentrated"
10,self-det:11,self-det,38,f,3,Bachelor's Degree,p3,Professions - Business,2,5,5,2,2,2,6,65.53980812169152,3.9,3.2,13,10,14,4,3,4,3,2,4,4,5,5,5,4,4,2,2,4,3,", "
30,static-inc:5,static-inc,37,m,4,Master's Degree,p12,Professions - Public policy,2,2,5,5,2,6,7,58.397594240013525,4.3,3.1,15,14,12,5,4,6,5,5,2,5,5,4,2,2,4,3,2,4,3,"Most of the time the solution was so near and then bamm wrong, I liked the puzless"
73,dda:27,dda,20,m,3,Bachelor's Degree,ns3,Natural Sciences - Computer science,1,5,5,7,6,7,6,54.5710195332868,6.4,3.1,13,13,13,7,7,7,7,6,7,6,6,6,5,5,2,2,3,4,3,"I really thought it was easy at the start, but it started getting more difficult eventually, I felt concentrated and absorbed while getting through them"
18,self-det:22,self-det,26,m,3,Bachelor's Degree,p1,Professions - Agriculture,5,4,6,6,2,5,7,65.24285578256153,5.2,3.2,8,11,5,6,6,3,3,5,5,6,7,7,4,4,4,2,2,5,4,"it was fine, and the option to change difficulty was great, it was an interesting experience"
49,static-inc:28,static-inc,21,f,3,Bachelor's Degree,ss1,Social Sciences - Economics,2,4,4,4,2,4,8,58.40405149889215,5.5,3.0,5,3,12,6,6,5,6,6,6,6,6,6,2,5,4,4,2,4,4,"The task was ok, I liked the fact that we couldn't see time, otherwise I would have been pressured, I felt calm and i wasn't destracted, which is surprising since usually my mind has a lot of thoughts all at the same time and usually I struggle with concentration"
8,self-det:9,self-det,34,f,7,Prefer not to answer,na,Not applicable,5,7,7,6,5,4,4,45.95973792686352,3.4,3.1,20,17,16,3,2,1,4,5,5,6,3,3,2,3,3,4,1,4,4,"Complex and little time allocated, Stressed because time went by fast. I would like to take another shot."
64,dda:17,dda,20,m,2,High School,ns3,Natural Sciences - Computer science,2,6,6,5,6,7,6,55.8543592838771,4.5,3.2,14,15,10,6,3,7,5,4,5,5,2,3,5,4,2,2,2,4,4,"It seemed impossible at times, and the time was also a factor that was lingering in my head, I felt concentrated and determined, but sometimes annoyed because it seemed like the puzzles are just impossible"
39,static-inc:16,static-inc,20,m,3,Bachelor's Degree,ns5,Natural Sciences - Mathematics,1,4,4,5,4,5,3,58.46692935928984,3.1,3.2,9,14,16,4,2,3,4,4,5,3,2,2,2,3,3,2,2,3,3,", "
43,static-inc:21,static-inc,22,m,2,High School,h10,Humanities - Visual arts,1,3,5,6,4,5,11,58.44055198125758,5.4,3.1,9,7,17,6,6,5,6,6,6,5,6,6,2,3,4,2,3,4,4,"it was ok to be honest few times more challenging one appeard, Sometimes confused but overall open minded and with huge self awareness to do the puzzle"
38,static-inc:15,static-inc,39,f,4,Master's Degree,p3,Professions - Business,1,5,5,5,1,3,5,58.424704416027566,5.5,3.2,12,14,10,2,5,7,7,7,7,5,2,6,7,3,3,2,2,4,4,"The training puzzles were much easier, annoyed that I could not solve more"
45,static-inc:23,static-inc,20,m,2,High School,na,Not applicable,1,1,4,7,1,3,5,58.35174502301215,4.6,2.7,13,15,13,4,7,4,2,4,5,4,7,7,2,3,2,4,5,3,1,"difficult for me to concentrate, it's not the puzzles fault., nervous, rushed."
55,dda:4,dda,32,m,3,Bachelor's Degree,p1,Professions - Agriculture,2,2,5,4,3,5,8,55.150559983876526,5.5,2.9,13,10,12,6,6,4,5,5,6,5,6,6,6,2,2,3,4,2,2,"The difficulty level for the puzzles were good.  , I felt immersed in trying to solve the puzzles but also hurried when trying to solve some of the harder ones."
50,static-inc:29,static-inc,36,m,3,Bachelor's Degree,h3,Humanities - History,2,3,4,4,1,3,10,58.389279425373395,6.1,2.8,13,9,5,6,6,7,7,6,6,5,7,6,5,3,2,4,4,3,3,"The difficulty was comfortable for me to perform within relatively successfully., Calm and relaxed"
27,static-inc:1,static-inc,33,f,4,Master's Degree,p6,Professions - Engineering and technology,4,6,7,6,4,4,9,58.478375386260616,5.9,3.3,6,10,14,7,7,5,7,6,7,7,6,6,1,4,5,1,2,5,4,"They were not very difficult. I like such tasks, so I treat them as a pleasant challenge, interested, enjoying myself"
23,self-det:27,self-det,26,f,4,Master's Degree,p6,Professions - Engineering and technology,5,6,7,6,7,6,5,74.99469919492499,5.6,3.4,10,10,10,5,6,6,7,6,6,5,6,6,3,4,2,1,1,4,4,"The puzzles that were 'tight' (the vertices and edges were close to each other) were more difficult because it was harder to see which dots are connected, I felt motivated and concentrated"
71,dda:25,dda,22,m,2,High School,na,Not applicable,2,3,2,1,1,4,7,46.37880969473906,4.1,3.1,14,8,9,4,3,5,4,3,5,4,5,3,5,2,4,3,2,3,2,"it was challanging at start then i got the hang of it (kinda), challanged"
69,dda:23,dda,43,m,4,Master's Degree,p6,Professions - Engineering and technology,7,7,7,5,2,6,7,53.44613412737045,5.2,3.0,6,11,2,6,7,7,6,6,7,6,2,4,1,5,5,1,5,5,4,"It was regular., I felt calm."
22,self-det:26,self-det,30,f,3,Bachelor's Degree,ss10,Social Sciences - Sociology,2,3,6,7,1,7,5,72.50537083471528,4.1,3.4,11,7,15,5,3,7,3,4,7,5,3,3,1,3,4,1,1,5,4,"The puzzles weren't difficult, I just needed more time to think them through and complete them., I felt excited"
33,static-inc:8,static-inc,29,m,3,Bachelor's Degree,ss8,Social Sciences - Political science,1,3,5,2,3,3,5,58.4535427489827,5.3,3.4,11,13,8,7,5,6,5,5,5,5,5,5,5,3,3,1,1,4,4,"The difficulty levels of the puzzles felt steep initially as I had never done anything similar before, but I felt I began to improve and find solutions more quickly as time went on and learnt to recognise mistakes better too., I was having fun, the puzzles were enjoyable. "
68,dda:22,dda,21,m,2,High School,ss1,Social Sciences - Economics,2,7,7,6,2,3,8,58.43297793106792,5.9,3.2,13,12,12,7,5,7,7,7,7,7,5,5,2,3,5,1,3,5,2,"Some puzzles I wasn't able to solve and I knew I could do better., I concentrated on finding the solution"
37,static-inc:14,static-inc,22,m,3,Bachelor's Degree,h4,Humanities - Linguistics and languages,1,2,4,2,1,7,4,58.463151237592704,5.9,3.1,12,11,5,7,7,7,6,7,7,5,6,5,2,2,3,2,3,4,3,"Often felt as if there were no correct answers in the amount of time, Often frustrated, mainly due to the time limit"
53,dda:2,dda,27,m,2,High School,p6,Professions - Engineering and technology,1,6,7,5,2,7,7,52.321002402290645,5.2,3.0,14,2,12,7,7,7,7,3,6,2,7,5,1,3,5,3,3,5,3,"The puzzles seemed to vary in difficulty and that made it quit challenging because you don't know what to expect, but it also kept the brain working to find a way to systemise the process., Challenged."
3,self-det:4,self-det,23,f,2,High School,ns3,Natural Sciences - Computer science,5,7,7,7,7,7,4,50.63788138789588,4.9,3.2,10,13,8,5,5,7,3,5,6,4,6,6,2,4,5,2,2,4,5,"For me there were no enought time to make sure the answer was correct, and if I was wrong I couldn't fix it because of lacking time after I saw red flag. Easy puzzles didn't require that much time to finish, that's why  I got more correct answers in 5 dots compared to 7 or more., I haven't seen time passing. I feel satisfied because of the intelectual work I've done, no mater if the final answers were correct."
14,self-det:15,self-det,38,f,3,Bachelor's Degree,ns3,Natural Sciences - Computer science,1,2,7,7,6,6,7,59.130150639942464,6.9,3.0,9,12,11,7,7,7,7,7,7,7,7,7,6,3,3,4,2,3,4,"It made me want to try harder if I dropped down a difficulty level. , I felt the more I played the puzzles the better I got at them."
5,self-det:6,self-det,31,m,2,High School,na,Not applicable,1,1,4,3,2,6,5,54.939520802437954,4.8,3.4,14,12,16,7,5,7,6,5,6,4,3,4,1,3,4,1,1,4,4,"I think I couldn't solve any puzzles that had 7 points to pick out, so for me that was quite challenging. 6 dots to finds wasn't that difficult., I felt immersed and really tried to find the right points and did my best to find the correct solution. I felt .. pushed, in the sense of something that made me focus and think about what I was doing."
54,dda:3,dda,34,m,3,Bachelor's Degree,p3,Professions - Business,2,7,7,6,2,5,8,59.859107277384375,5.4,3.3,14,14,8,6,6,6,6,5,7,6,6,5,1,4,4,1,2,5,4,"It was quite a challenge, but a fun a welcome one. I felt difficulty was not consequential, they were randomly placed during the road., Mostly I felt hurried to finish, because of the red flags. But the second feeling was having the fun and the thrill of discovering solutions."
6,self-det:7,self-det,35,f,3,Bachelor's Degree,h8,Humanities - Literature,5,5,7,7,3,7,3,54.75939367349458,6.5,3.2,5,9,12,6,7,7,7,7,7,7,6,7,4,4,4,2,2,4,5,"It was an interesting challenge and I enjoyed it. I am maybe a little slow for the timer, I definitely need to DO THE THING to learn from it before I can make the right decision., I felt fine. Challenged and interested. I was not frustrated, even when I was failing to find the solutions, because I know I would have gotten them if I had enough time."
44,static-inc:22,static-inc,21,m,2,High School,ns3,Natural Sciences - Computer science,2,6,7,7,6,7,8,58.4751045433458,5.9,3.3,16,14,5,6,7,7,6,6,7,5,5,6,4,2,2,1,2,3,3,", "
31,static-inc:6,static-inc,49,m,5,Ph.D. or Higher,ns5,Natural Sciences - Mathematics,5,6,6,4,5,4,6,58.43000329899624,5.7,3.4,12,12,13,5,5,6,6,6,6,6,6,5,6,5,5,1,1,5,5,"The training puzzles should scale in difficulty starting from easier ones, I felt a bit stresses"
29,static-inc:4,static-inc,30,f,4,Master's Degree,ss9,Social Sciences - Psychology,3,5,6,5,1,5,7,58.4218596931295,5.9,3.2,12,13,13,6,6,6,6,6,6,5,6,6,6,4,4,2,2,4,4,"Some was difficult,  where I could use more time than what was given, I really enjoyed doing these puzzles"
56,dda:5,dda,21,f,3,Bachelor's Degree,p3,Professions - Business,2,6,6,6,4,5,7,42.68704088275015,4.7,2.9,13,15,7,5,6,7,4,2,7,4,4,3,5,5,5,2,5,3,2,", "
63,dda:16,dda,37,m,4,Master's Degree,ns4,Natural Sciences - Earth science,2,4,4,2,2,6,9,58.47654920201061,4.4,3.0,10,11,9,6,4,5,3,3,5,4,6,4,4,4,3,2,4,3,2,"It wasnt difficult that much but i couldn't focus as i wanted and i felt hurry up., I felt hurry up too much and just do it without double checking which had lost me."
15,self-det:17,self-det,26,f,4,Master's Degree,ss9,Social Sciences - Psychology,1,6,7,5,1,6,8,56.70795906381761,5.7,3.0,13,10,9,7,6,7,7,6,7,6,4,4,3,3,2,3,3,3,3,"Some levels were very easy which gave me the security to choose a more difficult the next time. However, some of them were hard which made me feel slightly annoyed at times. In a general way, the balance regarding the difficulty was good., Even though some of the puzzles were difficult, the game was really engaging and gave the opportunity to be in a flow state for the time I was playing it. "
9,self-det:10,self-det,23,f,3,Bachelor's Degree,p8,Professions - Journalism and media,1,3,7,7,1,4,9,44.24121335859643,4.6,3.3,14,15,17,5,5,7,2,3,5,4,6,5,4,3,2,1,2,5,3,"Personally, I prefer to do less difficult puzzles repeatedly while I learn before doing harder ones, It was a little confusing at the beggining but once I got the hang of it I was able to perform a little better"
58,dda:7,dda,25,f,3,Bachelor's Degree,ns3,Natural Sciences - Computer science,2,5,5,7,6,4,6,42.964155394518606,6.3,3.4,20,16,7,6,7,7,7,6,7,6,5,5,7,3,5,1,1,4,4,"When the number of dots to select became high, it became difficult to solve the puzzle., I feel mentally challenged by the puzzle and i enjoyed doing it."
20,self-det:24,self-det,22,m,2,High School,ns3,Natural Sciences - Computer science,6,4,6,5,7,6,8,64.75538222103617,5.8,2.8,12,15,15,7,7,6,5,5,7,6,5,6,4,4,4,4,4,4,4,", "
66,dda:20,dda,23,m,3,Bachelor's Degree,p6,Professions - Engineering and technology,7,5,6,6,7,4,8,54.58017920915923,5.8,3.2,11,15,13,6,5,7,7,7,7,6,7,5,1,4,4,2,2,5,4,", "
47,static-inc:26,static-inc,53,m,4,Master's Degree,ss1,Social Sciences - Economics,7,7,7,5,3,7,4,58.42216576087538,5.4,3.2,14,14,14,4,5,4,6,6,7,5,6,5,6,3,4,2,2,4,4,"I met this task earlier, I think my result depends mainly on the time pressure, I was focused and relaxed although time gave me a little uncertainty"
40,static-inc:17,static-inc,21,f,3,Bachelor's Degree,p3,Professions - Business,2,3,4,6,1,2,6,58.48880419897725,3.8,2.9,6,12,10,5,7,7,2,1,3,3,4,3,3,2,3,2,5,1,1,"good mix of easy and hard, just going through the motions"
72,dda:26,dda,25,m,3,Bachelor's Degree,p10,Professions - Medicine,2,6,7,7,5,2,6,58.266271384375024,5.3,3.1,17,13,3,6,7,1,7,6,7,5,6,7,1,5,5,1,4,5,5,"Everything was fine, I felt that I have to do some tasks well"
12,self-det:13,self-det,40,f,4,Master's Degree,ss1,Social Sciences - Economics,5,6,6,6,3,3,6,43.98795313711201,4.9,3.4,16,13,18,5,4,5,5,4,6,6,4,5,5,2,4,1,1,4,1,"That was a little bit more difficult as I have thought, That was a good challenge"
34,static-inc:10,static-inc,33,m,3,Bachelor's Degree,p8,Professions - Journalism and media,1,5,5,6,1,5,2,58.470435840296,4.0,2.8,11,17,17,4,4,4,4,4,4,4,4,4,4,2,2,4,4,3,2,"Some of the puzzles didn't seem to have a solution and when I was sure I had found a solution on the others it said it was invalid, I felt frustrated"
70,dda:24,dda,43,f,3,Bachelor's Degree,p3,Professions - Business,1,5,6,2,1,5,5,48.67846209718933,5.7,3.3,16,16,15,7,5,7,5,6,7,6,4,3,7,4,4,2,1,5,4,"It was not difficult but the time given was not enough, I liked the puzzles, I felt a bit stressed"
74,dda:28,dda,25,f,2,High School,ns5,Natural Sciences - Mathematics,5,7,5,6,6,5,8,55.85969017507966,4.7,3.2,12,10,7,5,5,5,5,5,5,5,5,4,3,4,4,2,2,4,4,"The puzzles were perfect level of difficulty for me, and the training was comprehensive as well., The puzzles were engaging and fun, I felt like I was playing a mind game"
26,self-det:30,self-det,20,f,2,High School,p8,Professions - Journalism and media,2,3,4,5,1,2,9,46.2231906913905,4.9,3.1,13,11,14,5,6,6,6,4,5,4,7,3,3,4,2,2,3,4,3,", "
59,dda:8,dda,47,f,4,Master's Degree,ss9,Social Sciences - Psychology,2,5,5,5,1,2,5,43.5242986770653,5.8,3.1,14,16,13,6,6,6,6,6,6,6,6,4,6,4,4,2,3,4,4,"It was challenging, Focused and a bit frsutrated"
2,self-det:3,self-det,27,m,4,Master's Degree,na,Not applicable,1,6,6,6,1,3,7,50.30538017662167,4.8,3.1,11,11,9,5,5,7,2,5,6,5,5,5,3,3,3,3,2,4,4,", "
57,dda:6,dda,20,f,2,High School,p3,Professions - Business,6,4,6,5,1,4,7,57.223979226974905,5.5,3.2,11,10,9,5,7,5,7,7,7,6,5,5,1,4,4,2,2,4,3,"It was challenging but absolutely fun to try and solve. The difficulty was moderate., I felt challenged, focused and relaxed."
75,dda:29,dda,39,m,3,Bachelor's Degree,p6,Professions - Engineering and technology,7,7,7,7,7,5,5,48.43513378499048,4.5,3.4,8,14,4,7,6,2,5,4,1,6,7,6,1,5,5,1,1,5,5,"I needed more practice and training., Challenged"
24,self-det:28,self-det,33,f,3,Bachelor's Degree,na,Not applicable,1,4,5,4,3,5,4,64.97556514938786,4.4,3.3,16,11,5,6,4,6,5,5,5,4,5,3,1,4,4,2,1,4,2,", Sometimes I couldn't understand where I failed and that bothers me, to have an invalid result without being able to go back and check why I"
52,dda:1,dda,27,f,3,Bachelor's Degree,p3,Professions - Business,2,2,3,3,1,3,6,57.06317175561645,4.2,3.0,12,13,12,5,5,4,4,4,5,5,5,4,1,2,2,3,3,3,2,"I found the wording of the initial instructions to be confusing, Challenged but good"
4,self-det:5,self-det,31,m,2,High School,na,Not applicable,1,5,5,7,1,7,10,48.95965166190666,5.4,2.9,7,10,6,7,6,6,5,5,6,5,5,5,4,2,2,4,3,2,3,", "
7,self-det:8,self-det,43,f,4,Master's Degree,h4,Humanities - Linguistics and languages,4,3,5,4,3,6,2,47.522262990677696,5.0,3.2,16,11,19,5,5,4,6,6,6,4,6,6,2,3,4,2,2,4,4,"it was quite difficult and required concentration, I thought I would be lucky if I managed to solve one or two puzzles"
65,dda:18,dda,28,f,3,Bachelor's Degree,ns1,Natural Sciences - Biology,1,5,6,7,1,6,7,43.40859485287586,5.4,3.4,15,16,13,7,7,7,1,7,7,3,7,7,1,3,3,1,1,5,4,"The puzzles were not too difficult but i needed more time than what was provided to completely solve them, I was calm, relaxed and focused. "
48,static-inc:27,static-inc,35,m,3,Bachelor's Degree,na,Not applicable,2,5,6,5,1,5,8,58.42582235688439,5.0,3.1,16,14,12,6,6,4,5,5,6,6,6,5,1,3,2,2,3,2,3,"The tasks were not too hard, the challenge was time, It was exciting"
62,dda:13,dda,37,m,2,High School,na,Not applicable,2,3,4,4,1,6,9,62.48789099573032,4.2,3.2,17,15,9,3,3,5,4,4,6,4,5,4,4,2,3,2,2,4,3,"I felt like the difficulty level of the puzzle was just right as it made you think twice before answering., I felt a bit under pressure not knowing how long I had to complete each puzzle."
36,static-inc:13,static-inc,20,m,2,High School,p6,Professions - Engineering and technology,2,6,6,5,3,7,8,58.46317459424578,4.9,3.0,6,8,15,6,6,6,2,6,4,5,6,6,2,3,2,3,3,4,2,"some of them were tricky, it was fun exepirience"
51,static-inc:30,static-inc,24,f,2,High School,ns1,Natural Sciences - Biology,2,6,6,5,3,6,7,58.40042639151002,6.2,3.0,14,14,3,6,7,7,6,6,7,7,7,6,3,5,4,3,3,4,3,"the tests were quite difficult. but by concentrating I was able to solve several of them, I felt focused and relaxed"
